iso3,year,source,1,2,3,4,5,N,3+,fi_0,fi_1,fi_2
AFG,2017,IPC/CH,11468254,9961492,5695072,1879148,0,29003966,7574220,0.261144286267609,0.108644544220837,0.0506124806058132
AFG,2018,IPC/CH,5851036,6877626,7731351,2897166,0,23357179,10628517,0.455042837150839,0.193026777762845,0.0919061472848812
AFG,2019,IPC/CH,10118716,10374608,8591398,2694960,0,31779682,11286358,0.355143830577033,0.146648394195176,0.0677275429558351
AFG,2020,IPC/CH,8925704,11531600,8852087,4302438,0,33611829,13154525,0.391365938461724,0.173123208102322,0.0861529995552723
AFG,2021,IPC/CH,9694431,13613418,14073883,8739776,0,46121508,22813659,0.494642521228924,0.22804570194597,0.118125141672876
AFG,2022,IPC/CH,8076295,14730489,13036512,6593330,20324,42456950,19650166,0.462825662229623,0.206359178728885,0.103615408601471
AGO,2019,IPC/CH,215416,267056,271609,290231,0,1044312,561840,0.538000137889826,0.271972041561015,0.152416455363276
AGO,2021,IPC/CH,531261,820999,1167339,416659,0,2936258,1583998,0.5394614505946,0.227120936466301,0.107240614111945
BDI,2017,IPC/CH,3159436,8235130,2613310,701119,0,14708995,3314429,0.225333477916064,0.0909998269766221,0.0409257207730523
BDI,2018,IPC/CH,5959644,9213669,1751713,98075,0,17023101,1849788,0.108663398049509,0.0381415622609927,0.0139941404722128
BDI,2019,HNO,,,,,,1769125,1676342,0.947554299441815,,
BDI,2020,IPC/CH,7609188,3955432,1402385,128129,0,13095134,1530514,0.116876543607725,0.0422203392496785,0.0162477740035175
BDI,2021,IPC/CH,6655975,5029958,1506739,106680,0,13299352,1613419,0.121315609963553,0.0431123511381106,0.0161533267017655
BDI,2022,IPC/CH,8636769,3938184,1182686,0,0,13757639,1182686,0.0859657678181554,0.0286552559393851,0.00955175197979505
BEN,2021,IPC/CH,7285823,1436375,281638,0,0,9003836,281638,0.0312797789742061,0.010426592991402,0.00347553099713401
BEN,2022,IPC/CH,9766619,2318231,806329,23821,0,12915000,830150,0.0642779713511421,0.0220408052651955,0.00775681163160838
BFA,2019,HNO,,,,,,1200000,676252,0.563543333333333,,
BFA,2020,HNO,,,,,,2928111,2501841,0.854421502463534,,
BFA,2021,IPC/CH,12957852,6364525,2472506,254394,0,22049277,2726900,0.123672989368314,0.0450701701768574,0.0175872836505655
BFA,2022,IPC/CH,14153777,5331444,2825046,628464,0,22938731,3453510,0.150553664019165,0.0593170563794484,0.0258606865974117
