iso3,year,source,1,2,3,4,5,N,3+,fi_0,fi_1,fi_2
AFG,2017,IPC/CH,1081420,1524749,891454,410592,0,3908215,1302046,0.333156185112641,0.146071629460849,0.0720369216580402
AFG,2018,IPC/CH,5153246,6785309,7731351,2897166,0,22567072,10628517,0.470974568610407,0.199784934438991,0.0951239191922343
AFG,2019,IPC/CH,9989071,9450138,8591398,2694960,0,30725567,11286358,0.367327899921261,0.151679522572629,0.0700511003679046
AFG,2020,IPC/CH,7675484,10560168,8852087,4302438,0,31390177,13154525,0.419065015147892,0.185376070567129,0.0922505116453752
AFG,2021,IPC/CH,6440546,12473099,14073883,8739776,0,41727304,22813659,0.546732158876116,0.252060657133916,0.130564621828112
AFG,2022,IPC/CH,7451418,14625724,13036512,6593330,20324,41727308,19650166,0.470918612818253,0.209967566882899,0.105427223395821
AGO,2019,IPC/CH,148718,193379,271609,290231,0,903937,561840,0.621547740605817,0.314207369171377,0.176085649036751
AGO,2021,IPC/CH,482826,683302,1167339,416659,0,2750126,1583998,0.575972882697011,0.242492768210135,0.114498794277466
BDI,2017,IPC/CH,3159436,4033560,1864751,701119,0,9758866,2565870,0.262927065501258,0.111590458700154,0.0531622219220963
BDI,2018,IPC/CH,0,9213669,1751713,0,0,10965382,1751713,0.159749382192066,0.053249794064022,0.017749931354674
BDI,2020,IPC/CH,5587473,3918684,1402385,42054,0,10950596,1444439,0.13190505795301,0.0452484656238498,0.0159362305231809
BDI,2021,IPC/CH,5074936,5029958,1506739,106680,0,11718313,1613419,0.137683555644912,0.0489290850426451,0.0183327393437757
BDI,2022,IPC/CH,6981060,3660306,1353231,50637,0,12045234,1403868,0.116549666033885,0.0402511898066904,0.0143512640213825
BEN,2021,IPC/CH,7285823,1436375,281638,0,0,9003836,281638,0.0312797789742061,0.010426592991402,0.00347553099713401
BEN,2022,IPC/CH,9766619,2318231,806329,23821,0,12915000,830150,0.0642779713511421,0.0220408052651955,0.00775681163160838
BFA,2021,IPC/CH,12957852,6364525,2472506,254394,0,22049277,2726900,0.123672989368314,0.0450701701768574,0.0175872836505655
BFA,2022,IPC/CH,12468940,5331444,2825046,628464,0,21253894,3453510,0.162488342136269,0.0640192333696592,0.0279107128949327
CAF,2017,IPC/CH,1030103,1502205,721712,299001,0,3553021,1020713,0.287280317228634,0.123811445715257,0.0599713752200045
CAF,2018,IPC/CH,913060,1998871,1602481,848046,0,5362458,2450527,0.45697831106556,0.205041108635878,0.103490372843531
CAF,2019,IPC/CH,889358,1938532,1566192,568787,0,4962869,2134979,0.430190480546635,0.181599662077184,0.0860017775112653
CAF,2020,IPC/CH,605235,1619211,1608758,753978,0,4587182,2362736,0.515073524442675,0.22647993183324,0.112019148623757
CAF,2021,IPC/CH,998449,1591206,1657216,632524,0,4879395,2289740,0.46926719398614,0.199632946297646,0.0953513476340589
CAF,2022,IPC/CH,1054489,1528258,1671026,688858,0,4942631,2359884,0.477455023448038,0.205608578373205,0.0995074620514189
CIV,2020,IPC/CH,5013136,981428,186670,0,0,6181234,186670,0.0301994714971153,0.0100664904990384,0.00335549683301281
CIV,2022,IPC/CH,12103666,3089274,866812,0,0,16059752,866812,0.0539741834120477,0.0179913944706826,0.00599713149022752
CMR,2021,IPC/CH,18078644,5570917,2211680,72664,0,25933905,2284344,0.0880833025338837,0.0302950648324398,0.0107209976026878
