iso3,area,year,1,2,3,4,5,N,3+,fi_0,fi_1,fi_2
AFG,Badakhshan,2017,304816,334314,294983,49164,0,983277,344147,0.350000050850371,0.133333401133828,0.0555556120559675
AFG,Badakhshan,2018,97660,292981,410173,179929,0,980743,590102,0.601688719674777,0.261716881996609,0.128008277624436
AFG,Badakhshan,2019,207132,207132,466046,258915,0,1139225,724961,0.636363317167373,0.287878747979255,0.146464677497617
AFG,Badakhshan,2020,210817,368930,310697,316226,0,1206670,626923,0.519548012298309,0.260537678072713,0.145082564228644
AFG,Badakhshan,2021,158113,474963,490423,420363,0,1543862,910786,0.589940033500404,0.287406732812475,0.156308947590163
AFG,Badakhshan,2022,140121,490423,490423,350302,0,1471269,840725,0.571428474330663,0.269841205109331,0.142857099702517
AFG,Badghis,2017,77090,128483,179876,128483,0,513932,308359,0.599999610843458,0.283333203614486,0.149999956760384
AFG,Badghis,2018,51441,77162,154324,231486,0,514413,385810,0.750000485990828,0.400000259195109,0.23333348453048
AFG,Badghis,2019,81001,108002,270005,81001,0,540009,351006,0.650000277773148,0.266666543211934,0.122222037040123
AFG,Badghis,2020,109917,216004,189003,137396,0,652320,326399,0.500366384596517,0.236997690295152,0.125805160384815
AFG,Badghis,2021,137396,219833,292226,219170,0,868625,511396,0.588741977262916,0.280353432148511,0.14952188164564
AFG,Badghis,2022,146113,219170,255698,146113,0,767094,401811,0.523809337577924,0.238095113940838,0.121693038923522
AFG,Baghlan,2017,342712,489589,97918,48959,0,979178,146877,0.150000306379433,0.0666668028353034,0.0333334014176517
AFG,Baghlan,2018,232814,232814,271616,64683,0,801927,336299,0.419363607909448,0.166674356477169,0.0734824436084027
AFG,Baghlan,2019,398326,497907,149372,49791,0,1095396,199163,0.181818264810169,0.0757576864135588,0.0353536275668546
AFG,Baghlan,2020,321412,394845,197422,80353,0,994032,277775,0.279442714117855,0.120092713313052,0.0579943323979733
AFG,Baghlan,2021,469429,361588,269283,161570,0,1261870,430853,0.341440084953284,0.156493405290033,0.0806178308559695
AFG,Baghlan,2022,323139,484709,269283,161570,0,1238701,430853,0.347826473055241,0.159420500454374,0.0821257286643203
AFG,Baghlan Urban,2020,52776,94997,82450,30919,0,261142,113369,0.434127792541989,0.184175659219888,0.0877028164327795
